name,label,source,notes
merge_est,Matching result from merge,Estancias,
obs_hh,Check for number of observations in the 5 surveys,,
generations_enoe,Number of generations in the household (ENOE),ENOE,
time_cuidar,Hours provided care,ENOE,Replace with missing if the person don't know if they provided care or for how long 
as_time_cuidar,Hours provided care (asymptotic),ENOE,Inverse Hyperbolic Sine of time cuidar*3600
cuida,Hours provided care >0,ENOE,Replace with zeros if time_cuidar is missing
gd_died,Grandfather died,ENOE,
gm_died,Grandmother died,ENOE,
post_gd_died,Post X Grandfather died,ENOE,
post_gm_died,Post X Grandmother died,ENOE,
gm_died_ob1,Before grandmother dies - period 1,ENOE,
gm_died_a1,After grandmother dies - period 1,ENOE,
gm_died_b2,Before grandmother dies - period 2,ENOE,
gm_died_a2,After grandmother dies - period 2,ENOE,
gm_died_b3,Before grandmother dies - period 3,ENOE,
gm_died_a3,After grandmother dies - period 3,ENOE,
gm_died_b4,Before grandmother dies - period 4,ENOE,
gm_died_a4,After grandmother dies - period 4,ENOE,
gd_died_ob1,Before grandfather dies - period 1,ENOE,
gd_died_a1,After grandfather dies - period 1,ENOE,
gd_died_b2,Before grandfather dies - period 2,ENOE,
gd_died_a2,After grandfather dies - period 2,ENOE,
gd_died_b3,Before grandfather dies - period 3,ENOE,
gd_died_a3,After grandfather dies - period 3,ENOE,
gd_died_b4,Before grandfather dies - period 4,ENOE,
gd_died_a4,After grandfather dies - period 4,ENOE,
gm_died_b4_o_le_5_mom,Before grandmother dies - period 4 X oldest gk at most 5yrs X mom,ENOE,
gm_died_b3_o_le_5_mom,Before grandmother dies - period 3 X oldest gk at most 5yrs X mom,ENOE,
gm_died_b2_o_le_5_mom,Before grandmother dies - period 2 X oldest gk at most 5yrs X mom,ENOE,
gm_died_ob1_o_le_5_mom,Before grandmother dies - period 1 X oldest gk at most 5yrs X mom,ENOE,
gm_died_a1_o_le_5_mom,After grandmother dies - period 1 X oldest gk at most 5yrs X mom,ENOE,
gm_died_a2_o_le_5_mom,After grandmother dies - period 2 X oldest gk at most 5yrs X mom,ENOE,
gm_died_a3_o_le_5_mom,After grandmother dies - period 3 X oldest gk at most 5yrs X mom,ENOE,
gm_died_a4_o_le_5_mom,After grandmother dies - period 4 X oldest gk at most 5yrs X mom,ENOE,
gm_died_b4_o_le_5,Before grandmother dies - period 4 X oldest gk at most 5yrs,ENOE,
gm_died_b3_o_le_5,Before grandmother dies - period 3 X oldest gk at most 5yrs,ENOE,
gm_died_b2_o_le_5,Before grandmother dies - period 2 X oldest gk at most 5yrs,ENOE,
gm_died_ob1_o_le_5,Before grandmother dies - period 1 X oldest gk at most 5yrs,ENOE,
gm_died_a1_o_le_5,After grandmother dies - period 1 X oldest gk at most 5yrs,ENOE,
gm_died_a2_o_le_5,After grandmother dies - period 2 X oldest gk at most 5yrs,ENOE,
gm_died_a3_o_le_5,After grandmother dies - period 3 X oldest gk at most 5yrs,ENOE,
gm_died_a4_o_le_5,After grandmother dies - period 4 X oldest gk at most 5yrs,ENOE,
gd_died_b4_o_le_5,Before grandfather dies - period 4 X oldest gk at most 5yrs,ENOE,
gd_died_b3_o_le_5,Before grandfather dies - period 3 X oldest gk at most 5yrs,ENOE,
gd_died_b2_o_le_5,Before grandfather dies - period 2 X oldest gk at most 5yrs,ENOE,
gd_died_a1_o_le_5,After grandfather dies - period 1 X oldest gk at most 5yrs,ENOE,
gd_died_a2_o_le_5,After grandfather dies - period 2 X oldest gk at most 5yrs,ENOE,
gd_died_a3_o_le_5,After grandfather dies - period 3 X oldest gk at most 5yrs,ENOE,
gd_died_a4_o_le_5,After grandfather dies - period 4 X oldest gk at most 5yrs,ENOE,
gm_died_b4_mom,Before grandmother dies - period 4 X mother,ENOE,
gm_died_b3_mom,Before grandmother dies - period 3 X mother,ENOE,
gm_died_b2_mom,Before grandmother dies - period 2 X mother,ENOE,
gm_died_ob1_mom,Before grandmother dies - period 1 X mom,ENOE,
gm_died_a1_mom,After grandmother dies - period 1 X mother,ENOE,
gm_died_a2_mom,After grandmother dies - period 2 X mother,ENOE,
gm_died_a3_mom,After grandmother dies - period 3 X mother,ENOE,
gm_died_a4_mom,After grandmother dies - period 4 X mother,ENOE,
post_gm_died_mom,Post X grandmother death,ENOE,
post_gm_died_o_le_5,Post X gm death X Oldest grandchild at most 5yrs,ENOE,
post_gm_died_y_le_5,Post X gm death X Youngest grandchild at most 5yrs,ENOE,
post_gm_died_o_le_5_mom,Post X gm death X Oldest grandchild at most 5yrs X mom,ENOE,
post_gm_died_y_le_5_mom,Post X gm death X Youngest grandchild at most 5yrs X mom,ENOE,
sec_gen,Second generation,ENOE,
miss_sex,Check for changes in sex,ENOE,
pobtot_20_mun,Total population municipality level,Census,
pobtot_20_loc,Total population locality level,Census,
p0a5_20_loc,Population <6 years old (locality level),Census,
EI_N_p0a5_20,Daycares affiliated with the Estancias Infantiles,Estancias,Created as the number of daycares affiliated / total population at most 5 years old
time_cuidar_gm_p1,Hours grandmother provided care,ENOE,
time_cuidar_gm,Hours grandmother provided care,ENOE,
high_more_p1,Highschool or more (in N_ENT = 1),ENOE,
coll_more_p1,College or more (in N_ENT = 1),ENOE,
d_gk_m_p1,1 + male grandchildren (in N_ENT = 1),ENOE,
employed_p1,Employed (in N_ENT = 1),ENOE,
Z_pago_hora_pr,Private daycare cost per hour (std),ENESS,
Z_pago_hora_pu,Public daycare cost per hour (std),ENESS,
Z_pago_pr,Private daycare cost (std),ENESS,
Z_pago_pu,Public daycare cost (std),ENESS,
Z_pago_hora_es,Public School cost per hour (std),ENESS,
Z_pago_es,Public School cost (std),ENESS,
Z_pago_hora_con_es,Private School cost per hour (std),ENESS,
Z_pago_con_es,Private School cost per hour (std),ENESS,
